artist,language,position,title,week,year
Mando Diao,English,9,Shake,27,2017
Miriam Bryant,English,10,Rocket,27,2017
Nano,English,1,Hold On,28,2017
Miriam Bryant,English,2,Black Car,28,2017
Magnus Carlson,Danish,3,Eternal Love,28,2017
Zara Larsson,English,4,Only You,28,2017
Jill Johnson,English,5,Open Your Heart,28,2017
Magnus Uggla,Swedish,6,Världen Är Din,28,2017
Wiktoria,English,7,As I Lay Me Down,28,2017
Per Gessle med Lars Winnerbäck,Swedish,8,Småstadsprat,28,2017
Mando Diao,English,9,Shake,28,2017
Miriam Bryant,English,10,Rocket,28,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",29,2017
Nano,English,2,Hold On,29,2017
Jill Johnson,English,3,Open Your Heart,29,2017
Miriam Bryant,English,4,Rocket,29,2017
Zara Larsson,English,5,Only You,29,2017
Magnus Uggla,Swedish,6,Världen Är Din,29,2017
Per Gessle med Lars Winnerbäck,Swedish,7,Småstadsprat,29,2017
Wiktoria,English,8,As I Lay Me Down,29,2017
Magnus Carlson,Danish,9,Eternal Love,29,2017
Mando Diao,English,10,Shake,29,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",30,2017
Nano,English,2,Hold On,30,2017
Zara Larsson,English,3,Only You,30,2017
Miriam Bryant,English,4,Rocket,30,2017
Jill Johnson,English,5,Open Your Heart,30,2017
Magnus Uggla,Swedish,6,Världen Är Din,30,2017
Mando Diao,English,7,Shake,30,2017
Magnus Carlson,Danish,8,Eternal Love,30,2017
Wiktoria,English,9,As I Lay Me Down,30,2017
Per Gessle med Lars Winnerbäck,Swedish,10,Småstadsprat,30,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",31,2017
Nano,English,2,Hold On,31,2017
Jill Johnson,English,3,Open Your Heart,31,2017
Miriam Bryant,English,4,Rocket,31,2017
Zara Larsson,English,5,Only You,31,2017
Magnus Uggla,Swedish,6,Världen Är Din,31,2017
Magnus Carlson,Danish,7,Eternal Love,31,2017
Mando Diao,English,8,Shake,31,2017
Per Gessle med Lars Winnerbäck,Swedish,9,Småstadsprat,31,2017
Wiktoria,English,10,As I Lay Me Down,31,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",32,2017
Nano,English,2,Hold On,32,2017
Miriam Bryant,English,3,Rocket,32,2017
Magnus Carlson,Danish,4,Eternal Love,32,2017
Zara Larsson,English,5,Only You,32,2017
Jill Johnson,English,6,Open Your Heart,32,2017
Magnus Uggla,Swedish,7,Världen Är Din,32,2017
Axwell Λ Ingrosso,English,8,More Than You Know,32,2017
Per Gessle med Lars Winnerbäck,Swedish,9,Småstadsprat,32,2017
Mando Diao,English,10,Shake,32,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",33,2017
Miriam Bryant,English,2,Rocket,33,2017
Jill Johnson,English,3,Open Your Heart,33,2017
