artist,country,title,weekcount,year
OLIVIA RODRIGO,Denmark,DRIVERS LICENSE,14,2021
Portion Boys,Finland,Vauhti Kiihtyy (Feat. Matti Ja Teppo),28,2021
Blind Channel,Finland,Dark Side,22,2021
"The Kid LAROI, Justin Bieber",Finland,Stay,22,2021
Ed Sheeran,Finland,Bad Habits,21,2021
Haloo Helsinki!,Finland,Piilotan Mun Kyyneleet,17,2021
Måneskin,Finland,I Wanna Be Your Slave,16,2021
"Cledos, ibe, Averagekidluke, A36",Finland,Samma Gamla Vanliga - Remix,15,2021
Masked Wolf,Finland,Astronaut In The Ocean,15,2021
Måneskin,Finland,Beggin',15,2021
Ed Sheeran,Finland,Shivers,14,2021
Maria Mena,Norway,DEN FINESTE CHEVY'N,27,2021
Chris Holsten,Norway,SMILET I DITT EGET SPEIL,22,2021
Ed Sheeran,Norway,BAD HABITS,20,2021
Justin Bieber,Norway,STAY,19,2021
THE WEEKND,Norway,SAVE YOUR TEARS,18,2021
Olivia Rodrigo,Norway,GOOD 4 U,15,2021
Gabry Ponte,Norway,THUNDER,14,2021
Olivia Rodrigo,Norway,DRIVERS LICENSE,13,2021
Glass Animals,Norway,HEAT WAVES,12,2021
Lil Nas X,Norway,INDUSTRY BABY,12,2021
Miriam Bryant & Victor Leksell,Sweden,tystnar i luren,38,2021
Molly Sandén,Sweden,Nån Annan Nu,30,2021
Newkid,Sweden,Starkare,29,2021
Hanna Ferm,Sweden,För Evigt,28,2021
Clara Klingenström,Sweden,Behöver Inte Dig Idag,25,2021
Veronica Maggio,Sweden,SE MIG,25,2021
Myra Granberg,Sweden,Lose My Mind,24,2021
Newkid,Sweden,Du Måste Finnas,24,2021
Miss Li,Sweden,Instruktionsboken,22,2021
Albin Lee Meldau,Sweden,Josefin,21,2021
