artist,country,title,weekcount,year,language
"Shawn Mendes,camila Cabello",Finland,Señorita,15,2019,English
Pyhimys,Finland,Muistuta Mua,14,2019,Finnish
BEHM,Finland,Hei Rakas,12,2019,Finnish
Teflon Brothers,Finland,Harmaa Rinne,12,2019,Finnish
Apulanta,Finland,Lokin Päällä Lokki,10,2019,Finnish
Ariana Grande,Finland,7 Rings,10,2019,English
Gettomasa,Finland,Silmät,10,2019,Finnish
Lady Gaga,Norway,SHALLOW,25,2019,English
Tones And I,Norway,DANCE MONKEY,23,2019,English
Shawn Mendes,Norway,SENORITA,19,2019,English
Billie Eilish,Norway,BAD GUY,18,2019,English
Isah,Norway,HALLO,17,2019,Norwegian
Lewis Capaldi,Norway,SOMEONE YOU LOVED,17,2019,English
Lil Nas X,Norway,OLD TOWN ROAD,16,2019,English
Ava Max,Norway,SWEET BUT PSYCHO,13,2019,English
Justin Bieber,Norway,I DON'T CARE,12,2019,English
Alan Walker,Norway,PLAY,11,2019,English
Veronica Maggio,Sweden,Tillfälligheter,30,2019,Swedish
Avicii & Aloe Blacc,Sweden,SOS,27,2019,English
Mabel,Sweden,Don't Call Me Up,24,2019,English
Smith & Thell + Swedish Jam Factory,Sweden,Forgive Me Friend,22,2019,English
Mares,Sweden,Sunnanvind,21,2019,Swedish
"Avicii, Agnes, Vargas & Lagola",Sweden,Tough Love,18,2019,English
John Lundvik,Sweden,Too Late For Love,18,2019,English
Lena Philipsson,Sweden,Maria Magdalena,18,2019,Swedish
Anna Bergendahl,Sweden,Ashes To Ashes,17,2019,English
Smith & Thell,Sweden,Hotel Walls,17,2019,English
THE WEEKND,Denmark,BLINDING LIGHTS,31,2020,English
SAINT JHN,Denmark,ROSES,23,2020,English
ICEKIID,Denmark,ERRUDUMELLAHVAD,20,2020,Danish
LORD SIVA,Denmark,SOLHVERV,19,2020,Danish
KESI FEAT. HANS PHILIP,Denmark,BLÅ HIMMEL,17,2020,Danish
24KGOLDN FEAT. IANN DIOR,Denmark,MOOD,15,2020,English
DABABY FEAT. RODDY RICCH,Denmark,ROCKSTAR,15,2020,English
JOEL CORRY FEAT. MNEK,Denmark,HEAD & HEART,15,2020,English
DUA LIPA,Denmark,DON´T START NOW,13,2020,English
JAWSH 685 & JASON DERULO,Denmark,SAVAGE LOVE (LAXED - SIREN BEAT),13,2020,English
The Weeknd,Finland,Blinding Lights,36,2020,English
William,Finland,Penelope (Feat. Clever),35,2020,Finnish
BEHM,Finland,Frida,24,2020,Finnish
Arttu Wiskari,Finland,Tässäkö Tää Oli? (Feat. Leavings-Orkesteri),22,2020,Finnish
BEHM,Finland,Hei Rakas,21,2020,Finnish
Dababy,Finland,Rockstar (Feat. Roddy Ricch),15,2020,English
24Kgoldn,Finland,Mood (Feat. Iann Dior),14,2020,English
BEHM,Finland,Tivolit,13,2020,Finnish
