position,artist,title,year,week,language
9,Mando Diao,Shake,2017,25,English
10,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,25,Swedish
1,Nano,Hold On,2017,26,English
2,Jill Johnson,Open Your Heart,2017,26,English
3,Miriam Bryant,Black Car,2017,26,English
4,Zara Larsson,Only You,2017,26,English
5,Magnus Carlson,Eternal Love,2017,26,Danish
6,Mando Diao,Shake,2017,26,English
7,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,26,Swedish
8,Magnus Uggla,Världen Är Din,2017,26,Swedish
9,Wiktoria,As I Lay Me Down,2017,26,English
10,Miriam Bryant,Rocket,2017,26,English
1,Nano,Hold On,2017,27,English
2,Miriam Bryant,Black Car,2017,27,English
3,Magnus Carlson,Eternal Love,2017,27,Danish
4,Zara Larsson,Only You,2017,27,English
5,Jill Johnson,Open Your Heart,2017,27,English
6,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,27,Swedish
7,Magnus Uggla,Världen Är Din,2017,27,Swedish
8,Wiktoria,As I Lay Me Down,2017,27,English
9,Mando Diao,Shake,2017,27,English
10,Miriam Bryant,Rocket,2017,27,English
1,Nano,Hold On,2017,28,English
2,Miriam Bryant,Black Car,2017,28,English
3,Magnus Carlson,Eternal Love,2017,28,Danish
4,Zara Larsson,Only You,2017,28,English
5,Jill Johnson,Open Your Heart,2017,28,English
6,Magnus Uggla,Världen Är Din,2017,28,Swedish
7,Wiktoria,As I Lay Me Down,2017,28,English
8,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,28,Swedish
9,Mando Diao,Shake,2017,28,English
10,Miriam Bryant,Rocket,2017,28,English
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,29,Swedish
2,Nano,Hold On,2017,29,English
3,Jill Johnson,Open Your Heart,2017,29,English
4,Miriam Bryant,Rocket,2017,29,English
5,Zara Larsson,Only You,2017,29,English
6,Magnus Uggla,Världen Är Din,2017,29,Swedish
7,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,29,Swedish
8,Wiktoria,As I Lay Me Down,2017,29,English
9,Magnus Carlson,Eternal Love,2017,29,Danish
10,Mando Diao,Shake,2017,29,English
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,30,Swedish
2,Nano,Hold On,2017,30,English
3,Zara Larsson,Only You,2017,30,English
4,Miriam Bryant,Rocket,2017,30,English
5,Jill Johnson,Open Your Heart,2017,30,English
6,Magnus Uggla,Världen Är Din,2017,30,Swedish
7,Mando Diao,Shake,2017,30,English
8,Magnus Carlson,Eternal Love,2017,30,Danish
9,Wiktoria,As I Lay Me Down,2017,30,English
10,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,30,Swedish
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,31,Swedish
2,Nano,Hold On,2017,31,English
3,Jill Johnson,Open Your Heart,2017,31,English
4,Miriam Bryant,Rocket,2017,31,English
5,Zara Larsson,Only You,2017,31,English
6,Magnus Uggla,Världen Är Din,2017,31,Swedish
7,Magnus Carlson,Eternal Love,2017,31,Danish
8,Mando Diao,Shake,2017,31,English
9,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,31,Swedish
10,Wiktoria,As I Lay Me Down,2017,31,English
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,32,Swedish
2,Nano,Hold On,2017,32,English
3,Miriam Bryant,Rocket,2017,32,English
4,Magnus Carlson,Eternal Love,2017,32,Danish
5,Zara Larsson,Only You,2017,32,English
6,Jill Johnson,Open Your Heart,2017,32,English
7,Magnus Uggla,Världen Är Din,2017,32,Swedish
8,Axwell Λ Ingrosso,More Than You Know,2017,32,English
9,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,32,Swedish
10,Mando Diao,Shake,2017,32,English
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,33,Swedish
2,Miriam Bryant,Rocket,2017,33,English
3,Jill Johnson,Open Your Heart,2017,33,English
4,Nano,Hold On,2017,33,English
5,Magnus Carlson,Eternal Love,2017,33,Danish
6,Zara Larsson,Only You,2017,33,English
7,Mando Diao,Shake,2017,33,English
8,Axwell Λ Ingrosso,More Than You Know,2017,33,English
9,Magnus Uggla,Världen Är Din,2017,33,Swedish
10,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,33,Swedish
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,34,Swedish
2,Zara Larsson,Only You,2017,34,English
3,Miriam Bryant,Rocket,2017,34,English
4,Jill Johnson,Open Your Heart,2017,34,English
5,Magnus Carlson,Eternal Love,2017,34,Danish
6,Nano,Hold On,2017,34,English
7,Axwell Λ Ingrosso,More Than You Know,2017,34,English
8,Mando Diao,Shake,2017,34,English
9,Magnus Uggla,Världen Är Din,2017,34,Swedish
10,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,34,Swedish
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,35,Swedish
2,Miriam Bryant,Rocket,2017,35,English
3,Magnus Carlson,Eternal Love,2017,35,Danish
4,Jill Johnson,Open Your Heart,2017,35,English
5,Zara Larsson,Only You,2017,35,English
6,Nano,Hold On,2017,35,English
7,Axwell Λ Ingrosso,More Than You Know,2017,35,English
8,Mando Diao,Shake,2017,35,English
9,Magnus Uggla,Världen Är Din,2017,35,Swedish
10,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,35,Swedish
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,36,Swedish
2,Miriam Bryant,Rocket,2017,36,English
3,Nano,Hold On,2017,36,English
4,Zara Larsson,Only You,2017,36,English
5,Jill Johnson,Open Your Heart,2017,36,English
6,Axwell Λ Ingrosso,More Than You Know,2017,36,English
7,Magnus Carlson,Eternal Love,2017,36,Danish
8,Mando Diao,Shake,2017,36,English
9,Magnus Uggla,Världen Är Din,2017,36,Swedish
10,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,36,Swedish
1,Jill Johnson,Open Your Heart,2017,37,English
2,Ted Gärdestad,"Sol, Vind Och Vatten",2017,37,Swedish
3,Zara Larsson,Only You,2017,37,English
4,Nano,Hold On,2017,37,English
5,Magnus Carlson,Eternal Love,2017,37,Danish
6,Miriam Bryant,Rocket,2017,37,English
7,Magnus Uggla,Världen Är Din,2017,37,Swedish
8,Axwell Λ Ingrosso,More Than You Know,2017,37,English
9,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,37,Swedish
10,Mando Diao,Shake,2017,37,English
1,Kamferdrops,Jag Trodde Änglarna Fanns,2017,38,Swedish
2,Ted Gärdestad,"Sol, Vind Och Vatten",2017,38,Swedish
3,Jill Johnson,Open Your Heart,2017,38,English
4,Zara Larsson,Only You,2017,38,English
5,Nano,Hold On,2017,38,English
6,Miriam Bryant,Rocket,2017,38,English
7,Magnus Carlson,Eternal Love,2017,38,Danish
8,Mando Diao,Shake,2017,38,English
9,Magnus Uggla,Världen Är Din,2017,38,Swedish
10,Axwell Λ Ingrosso,More Than You Know,2017,38,English
1,Kamferdrops,Jag Trodde Änglarna Fanns,2017,39,Swedish
2,Ted Gärdestad,"Sol, Vind Och Vatten",2017,39,Swedish
3,Magnus Uggla,Världen Är Din,2017,39,Swedish
4,Jill Johnson,Open Your Heart,2017,39,English
5,Miriam Bryant,Rocket,2017,39,English
6,Magnus Carlson,Eternal Love,2017,39,Danish
7,Nano,Hold On,2017,39,English
8,Mando Diao,Shake,2017,39,English
9,Zara Larsson,Only You,2017,39,English
10,Avicii feat. Sandro Cavazza,Without You,2017,39,English
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,40,Swedish
2,Kamferdrops,Jag Trodde Änglarna Fanns,2017,40,Swedish
3,Jill Johnson,Open Your Heart,2017,40,English
4,Magnus Carlson,Eternal Love,2017,40,Danish
5,Miriam Bryant,Rocket,2017,40,English
6,Magnus Uggla,Världen Är Din,2017,40,Swedish
7,Nano,Hold On,2017,40,English
8,Mando Diao,Shake,2017,40,English
9,Zara Larsson,Only You,2017,40,English
10,Avicii feat. Sandro Cavazza,Without You,2017,40,English
1,Kamferdrops,Jag Trodde Änglarna Fanns,2017,41,Swedish
2,Jill Johnson,Open Your Heart,2017,41,English
3,Ted Gärdestad,"Sol, Vind Och Vatten",2017,41,Swedish
4,Miriam Bryant,Rocket,2017,41,English
5,Zara Larsson,Only You,2017,41,English
6,Magnus Carlson,Eternal Love,2017,41,Danish
7,Nano,Hold On,2017,41,English
8,Mando Diao,Shake,2017,41,English
9,Avicii feat. Sandro Cavazza,Without You,2017,41,English
10,Magnus Uggla,Världen Är Din,2017,41,Swedish
1,Kamferdrops,Jag Trodde Änglarna Fanns,2017,42,Swedish
2,Ted Gärdestad,"Sol, Vind Och Vatten",2017,42,Swedish
3,Jill Johnson,Open Your Heart,2017,42,English
4,Zara Larsson,Only You,2017,42,English
5,Nano,Hold On,2017,42,English
6,Miriam Bryant,Rocket,2017,42,English
7,Magnus Carlson,Eternal Love,2017,42,Danish
8,Avicii feat. Sandro Cavazza,Without You,2017,42,English
9,Magnus Uggla,Världen Är Din,2017,42,Swedish
10,Mando Diao,Shake,2017,42,English
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,43,Swedish
2,Kamferdrops,Jag Trodde Änglarna Fanns,2017,43,Swedish
3,Zara Larsson,Only You,2017,43,English
4,Jill Johnson,Open Your Heart,2017,43,English
5,Nano,Hold On,2017,43,English
6,Magnus Carlson,Eternal Love,2017,43,Danish
7,Miriam Bryant,Rocket,2017,43,English
8,Avicii feat. Sandro Cavazza,Without You,2017,43,English
9,Mando Diao,Shake,2017,43,English
10,Magnus Uggla,Världen Är Din,2017,43,Swedish
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,44,Swedish
2,Kamferdrops,Jag Trodde Änglarna Fanns,2017,44,Swedish
3,Jill Johnson,Open Your Heart,2017,44,English
4,Zara Larsson,Only You,2017,44,English
5,Nano,Hold On,2017,44,English
6,Magnus Carlson,Eternal Love,2017,44,Danish
7,Mando Diao,Shake,2017,44,English
8,Miriam Bryant,Rocket,2017,44,English
9,Avicii feat. Sandro Cavazza,Without You,2017,44,English
10,Magnus Uggla,Världen Är Din,2017,44,Swedish
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,45,Swedish
2,Kamferdrops,Jag Trodde Änglarna Fanns,2017,45,Swedish
3,Zara Larsson,Only You,2017,45,English
4,Magnus Carlson,Eternal Love,2017,45,Danish
5,Nano,Hold On,2017,45,English
6,Sabina Ddumba,Vågorna,2017,45,Swedish
7,Avicii feat. Sandro Cavazza,Without You,2017,45,English
8,Miriam Bryant,Rocket,2017,45,English
